Animal_Id,Outcome_Type,Outcome_Subtype,Outcome_Date,Impound_Number,Outcome_Condition
A1133943,LOST EXP,OTHER,12/14/2021 12:00:00 AM,K21-541485,N/A
A1133944,LOST EXP,OTHER,12/14/2021 12:00:00 AM,K21-541486,N/A
A1133945,ADOPTION,WESTMORELD,11/19/2021 12:00:00 AM,K21-541488,APP WNL
A1133946,ADOPTION,WESTMORELD,11/22/2021 12:00:00 AM,K21-541489,APP WNL
A1133947,ADOPTION,WESTMORELD,11/19/2021 12:00:00 AM,K21-541490,APP WNL
A1133949,EUTHANIZED,BEHAVIOR,11/19/2021 12:00:00 AM,K21-541491,APP WNL
A1133950,EUTHANIZED,HUMANE,11/13/2021 12:00:00 AM,K21-541492,APP SICK
A1133951,EUTHANIZED,BEHAVIOR,11/19/2021 12:00:00 AM,K21-541493,APP WNL
A1133952,LOST EXP,OTHER,12/14/2021 12:00:00 AM,K21-541494,N/A
A1133953,RETURNED TO OWNER,WESTMORELD,12/10/2021 12:00:00 AM,K21-542575,APP WNL
A1133955,LOST EXP,OTHER,12/14/2021 12:00:00 AM,K21-541495,N/A
A1133961,LOST EXP,OTHER,12/14/2021 12:00:00 AM,K21-541497,N/A
A1133962,LOST EXP,OTHER,12/14/2021 12:00:00 AM,K21-541498,N/A
A1133963,ADOPTION,WESTMORELD,12/03/2021 12:00:00 AM,K21-541500,APP WNL
A1133964,DISPOSAL,DISPOSAL,11/13/2021 12:00:00 AM,K21-541501,DECEASED
A1133966,ADOPTION,ADOPETS,11/17/2021 12:00:00 AM,K21-541502,APP WNL
A1133967,DISPOSAL,DISPOSAL,11/14/2021 12:00:00 AM,K21-541503,DECEASED
A1133968,LOST EXP,OTHER,12/15/2021 12:00:00 AM,K21-541504,N/A
A1133970,FOUND EXP,OTHER,12/15/2021 12:00:00 AM,K21-541506,N/A
A1133971,LOST EXP,OTHER,12/15/2021 12:00:00 AM,K21-541507,N/A
A1133973,RETURNED TO OWNER,WESTMORELD,11/17/2021 12:00:00 AM,K21-541631,APP WNL
A1133974,RETURNED TO OWNER,WESTMORELD,11/17/2021 12:00:00 AM,K21-541630,APP WNL
A1133975,WILDLIFE,RELEASE,11/14/2021 12:00:00 AM,K21-541519,APP WNL
A1133977,ADOPTION,ADOPETS,11/16/2021 12:00:00 AM,K21-541520,APP WNL
A1133981,EUTHANIZED,BITE,11/29/2021 12:00:00 AM,K21-541525,APP WNL
A1133983,ADOPTION,WESTMORELD,11/16/2021 12:00:00 AM,K21-541526,APP WNL
A1133985,ADOPTION,WESTMORELD,11/15/2021 12:00:00 AM,K21-541529,APP WNL
A1133985,ADOPTION,ADOPETS,12/15/2021 12:00:00 AM,K21-542572,APP WNL
A1133986,LOST EXP,OTHER,12/15/2021 12:00:00 AM,K21-541527,N/A
A1133987,LOST EXP,OTHER,12/15/2021 12:00:00 AM,K21-541528,N/A
A1133989,ADOPTION,WESTMORELD,11/15/2021 12:00:00 AM,K21-541530,APP WNL
A1133989,TRANSFER,BEHAVIOR,12/18/2021 12:00:00 AM,K21-542573,APP WNL
A1133990,ADOPTION,ADOPETS,11/17/2021 12:00:00 AM,K21-541531,APP WNL
A1133991,ADOPTION,WESTMORELD,11/17/2021 12:00:00 AM,K21-541532,APP WNL
A1133991,TRANSFER,GENERAL,11/29/2021 12:00:00 AM,K21-542318,APP SICK
A1133993,ADOPTION,WESTMORELD,11/20/2021 12:00:00 AM,K21-541533,APP WNL
A1133994,ADOPTION,WESTMORELD,11/20/2021 12:00:00 AM,K21-541534,APP WNL
A1133995,RETURNED TO OWNER,WESTMORELD,11/20/2021 12:00:00 AM,K21-541535,APP WNL
A1133996,ADOPTION,WESTMORELD,11/20/2021 12:00:00 AM,K21-541536,APP WNL
A1133997,ADOPTION,WESTMORELD,11/18/2021 12:00:00 AM,K21-541537,APP WNL
A1133998,ADOPTION,WESTMORELD,11/18/2021 12:00:00 AM,K21-541538,APP WNL
A1133999,ADOPTION,ADOPETS,11/16/2021 12:00:00 AM,K21-541539,APP WNL
A1134000,ADOPTION,WESTMORELD,11/20/2021 12:00:00 AM,K21-541541,APP WNL
A1134001,ADOPTION,WESTMORELD,11/20/2021 12:00:00 AM,K21-541542,APP WNL
A1134002,DISPOSAL,DISPOSAL,11/20/2021 12:00:00 AM,K21-541543,DECEASED
A1134003,EUTHANIZED,MEDICAL,12/05/2021 12:00:00 AM,K21-541544,APP SICK
A1134004,ADOPTION,WESTMORELD,11/27/2021 12:00:00 AM,K21-541545,APP WNL
A1134004,ADOPTION,WESTMORELD,12/13/2021 12:00:00 AM,K21-542463,APP WNL
A1134007,RETURNED TO OWNER,FIELD,11/14/2021 12:00:00 AM,K21-541551,APP WNL
A1134008,ADOPTION,WESTMORELD,11/20/2021 12:00:00 AM,K21-541546,APP WNL
A1134009,TRANSFER,UNDERAGE,11/16/2021 12:00:00 AM,K21-541548,UNDERAGE
A1134010,ADOPTION,WESTMORELD,11/15/2021 12:00:00 AM,K21-541549,APP WNL
A1134011,ADOPTION,ADOPETS,11/16/2021 12:00:00 AM,K21-541552,APP WNL
A1134012,TRANSFER,UNDERAGE,11/16/2021 12:00:00 AM,K21-541553,UNDERAGE
A1134013,TRANSFER,UNDERAGE,11/16/2021 12:00:00 AM,K21-541554,UNDERAGE
A1134014,ADOPTION,WESTMORELD,11/15/2021 12:00:00 AM,K21-541555,APP WNL
A1134015,LOST EXP,OTHER,12/15/2021 12:00:00 AM,K21-541556,N/A
A1134018,SNR,ASO,11/19/2021 12:00:00 AM,K21-541560,APP WNL
A1134019,SNR,ASO,11/19/2021 12:00:00 AM,K21-541559,APP WNL
A1134021,SNR,ASO,11/19/2021 12:00:00 AM,K21-541558,APP WNL
A1134022,SNR,ASO,11/19/2021 12:00:00 AM,K21-541557,APP WNL
A1134023,RETURNED TO OWNER,WESTMORELD,11/16/2021 12:00:00 AM,K21-541561,APP WNL
A1134025,RETURNED TO OWNER,WESTMORELD,11/27/2021 12:00:00 AM,K21-541640,APP WNL
A1134026,FOSTER,SAME DAY,11/21/2021 12:00:00 AM,K21-541562,APP WNL
A1134026,ADOPTION,BY FOSTER,11/27/2021 12:00:00 AM,K21-542358,APP WNL
A1134026,FOSTER,SAME DAY,07/30/2022 12:00:00 AM,K22-561282,APP WNL
A1134026,FOSTER,GENERAL,07/29/2022 12:00:00 AM,K22-561045,APP WNL
A1134026,ADOPTION,IN FOSTER,08/10/2022 12:00:00 AM,K22-562204,APP WNL
A1134027,LOST EXP,OTHER,12/15/2021 12:00:00 AM,K21-541563,N/A
A1134030,RETURNED TO OWNER,WESTMORELD,11/17/2021 12:00:00 AM,K21-541564,APP WNL
A1134031,ADOPTION,WESTMORELD,11/22/2021 12:00:00 AM,K21-541565,APP WNL
A1134032,LOST EXP,OTHER,12/15/2021 12:00:00 AM,K21-541566,N/A
A1134033,LOST EXP,OTHER,12/15/2021 12:00:00 AM,K21-541567,N/A
A1134034,ADOPTION,WESTMORELD,11/20/2021 12:00:00 AM,K21-541568,APP WNL
A1134035,TRANSFER,GENERAL,11/19/2021 12:00:00 AM,K21-541569,APP WNL
A1134036,ADOPTION,ADOPETS,11/21/2021 12:00:00 AM,K21-541570,APP WNL
A1134036,EUTHANIZED,BEHAVIOR,11/24/2021 12:00:00 AM,K21-542059,APP WNL
A1134038,EUTHANIZED,BEHAVIOR,12/10/2021 12:00:00 AM,K21-541571,APP WNL
A1134040,LOST EXP,OTHER,12/15/2021 12:00:00 AM,K21-541573,N/A
A1134041,ADOPTION,WESTMORELD,11/26/2021 12:00:00 AM,K21-541574,APP WNL
A1134046,LOST EXP,OTHER,12/16/2021 12:00:00 AM,K21-541575,N/A
A1134047,LOST EXP,OTHER,12/16/2021 12:00:00 AM,K21-541576,N/A
A1134049,ADOPTION,WESTMORELD,03/15/2022 12:00:00 AM,K21-541579,APP WNL
A1134049,TREATMENT,COMPLETED,04/24/2022 12:00:00 AM,K22-552852,APP WNL
A1134049,TREATMENT,COMPLETED,06/05/2022 12:00:00 AM,K22-556600,APP WNL
A1134049,TREATMENT,COMPLETED,07/11/2022 12:00:00 AM,K22-559567,APP WNL
A1134050,EUTHANIZED,HUMANE,11/15/2021 12:00:00 AM,K21-541582,APP INJ
A1134052,LOST EXP,OTHER,12/16/2021 12:00:00 AM,K21-541588,N/A
A1134053,RETURNED TO OWNER,FIELD,11/15/2021 12:00:00 AM,K21-541589,APP WNL
A1134054,ADOPTION,ADOPETS,11/19/2021 12:00:00 AM,K21-541590,APP WNL
A1134058,ADOPTION,WESTMORELD,11/20/2021 12:00:00 AM,K21-541595,APP WNL
A1134059,LOST EXP,OTHER,12/16/2021 12:00:00 AM,K21-541597,N/A
A1134061,EUTHANIZED,BEHAVIOR,11/27/2021 12:00:00 AM,K21-541598,APP WNL
A1134068,ADOPTION,WESTMORELD,11/28/2021 12:00:00 AM,K21-541600,APP WNL
A1134069,LOST EXP,OTHER,12/16/2021 12:00:00 AM,K21-541602,N/A
A1134071,EUTHANIZED,MEDICAL,12/14/2021 12:00:00 AM,K21-541604,APP SICK
A1134072,ADOPTION,WESTMORELD,01/03/2022 12:00:00 AM,K21-541607,APP WNL
A1134072,TREATMENT,COMPLETED,02/14/2022 12:00:00 AM,K22-547877,APP WNL
A1134072,TREATMENT,COMPLETED,04/26/2022 12:00:00 AM,K22-552934,APP WNL
A1134072,TREATMENT,COMPLETED,03/22/2022 12:00:00 AM,K22-550220,APP WNL
A1134073,LOST EXP,OTHER,12/16/2021 12:00:00 AM,K21-541608,N/A
A1134074,LOST EXP,OTHER,12/16/2021 12:00:00 AM,K21-541609,N/A
A1134075,TRANSFER,GENERAL,11/19/2021 12:00:00 AM,K21-541610,APP WNL
A1134076,SNR,ASO,11/19/2021 12:00:00 AM,K21-541612,APP WNL
A1134078,EUTHANIZED,MEDICAL,11/28/2021 12:00:00 AM,K21-541613,APP WNL
A1134080,LOST EXP,OTHER,12/16/2021 12:00:00 AM,K21-541614,N/A
A1134081,DISPOSAL,DISPOSAL,11/20/2021 12:00:00 AM,K21-541616,DECEASED
A1134083,DISPOSAL,DISPOSAL,11/15/2021 12:00:00 AM,K21-541617,DECEASED
A1134084,EUTHANIZED,HUMANE,12/01/2021 12:00:00 AM,K21-541618,APP INJ
A1134085,LOST EXP,OTHER,12/16/2021 12:00:00 AM,K21-541619,N/A
A1134086,ADOPTION,WESTMORELD,11/23/2021 12:00:00 AM,K21-541622,APP WNL
A1134087,EUTHANIZED,BITE,11/30/2021 12:00:00 AM,K21-541627,APP SICK
A1134088,LOST EXP,OTHER,12/16/2021 12:00:00 AM,K21-541623,N/A
A1134089,RETURNED TO OWNER,WESTMORELD,11/19/2021 12:00:00 AM,K21-541625,APP WNL
A1134090,RETURNED TO OWNER,WESTMORELD,11/17/2021 12:00:00 AM,K21-541626,APP WNL
A1134094,LOST EXP,OTHER,12/16/2021 12:00:00 AM,K21-541628,N/A
A1134095,ADOPTION,WESTMORELD,11/20/2021 12:00:00 AM,K21-541629,APP WNL
A1134097,FOUND EXP,OTHER,12/16/2021 12:00:00 AM,K21-541632,N/A
A1134098,FOSTER,SAME DAY,11/21/2021 12:00:00 AM,K21-541633,APP INJ
A1134098,TREATMENT,COMPLETED,11/30/2021 12:00:00 AM,K21-542581,APP WNL
A1134098,TRANSFER,BEHAVIOR,12/23/2021 12:00:00 AM,K21-543192,APP WNL
A1134100,RETURNED TO OWNER,WESTMORELD,11/18/2021 12:00:00 AM,K21-541634,APP WNL
A1134101,EUTHANIZED,MEDICAL,12/04/2021 12:00:00 AM,K21-541635,APP WNL
A1134102,RETURNED TO OWNER,WESTMORELD,11/26/2021 12:00:00 AM,K21-541921,APP WNL
A1134103,RETURNED TO OWNER,WESTMORELD,11/27/2021 12:00:00 AM,K21-541878,APP WNL
A1134104,DIED,IN KENNEL,11/17/2021 12:00:00 AM,K21-541636,DECEASED
A1134105,LOST EXP,OTHER,12/17/2021 12:00:00 AM,K21-541637,N/A
A1134106,LOST EXP,OTHER,12/17/2021 12:00:00 AM,K21-541638,N/A
A1134107,FOUND EXP,OTHER,12/17/2021 12:00:00 AM,K21-541639,N/A
A1134108,ADOPTION,ADOPETS,11/20/2021 12:00:00 AM,K21-541641,APP WNL
A1134109,EUTHANIZED,HUMANE,11/16/2021 12:00:00 AM,K21-541642,CRITICAL
A1134110,RETURNED TO OWNER,WESTMORELD,11/18/2021 12:00:00 AM,K21-541644,APP WNL
A1134111,LOST EXP,OTHER,12/17/2021 12:00:00 AM,K21-541645,N/A
A1134112,LOST EXP,OTHER,12/17/2021 12:00:00 AM,K21-541646,N/A
A1134113,LOST EXP,OTHER,12/17/2021 12:00:00 AM,K21-541647,N/A
A1134114,TRANSFER,INV,11/16/2021 12:00:00 AM,K21-541648,APP SICK
A1134115,TRANSFER,INV,11/16/2021 12:00:00 AM,K21-541649,APP SICK
A1134116,TRANSFER,INV,11/16/2021 12:00:00 AM,K21-541650,APP SICK
A1134117,TRANSFER,INV,11/16/2021 12:00:00 AM,K21-541651,APP SICK
A1134118,TRANSFER,INV,11/16/2021 12:00:00 AM,K21-541652,APP SICK
A1134119,SNR,ASO,12/04/2021 12:00:00 AM,K21-541658,APP WNL
A1134122,ADOPTION,WESTMORELD,11/27/2021 12:00:00 AM,K21-541661,APP WNL
A1134123,ADOPTION,WESTMORELD,11/29/2021 12:00:00 AM,K21-541662,APP WNL
A1134125,FOSTER,TRANSPORT,01/11/2022 12:00:00 AM,K21-541663,APP WNL
A1134125,TRANSFER,TRANSPORT,02/01/2022 12:00:00 AM,K22-546992,APP WNL
A1134125,TREATMENT,COMPLETED,01/26/2022 12:00:00 AM,K22-546455,APP WNL
A1134126,EUTHANIZED,HUMANE,11/16/2021 12:00:00 AM,K21-541664,FATAL
A1134127,EUTHANIZED,HUMANE,11/16/2021 12:00:00 AM,K21-541666,FATAL
A1134129,ADOPTION,ADOPETS,11/17/2021 12:00:00 AM,K21-541667,APP WNL
A1134130,ADOPTION,WESTMORELD,11/29/2021 12:00:00 AM,K21-541668,APP WNL
A1134131,LOST EXP,OTHER,12/17/2021 12:00:00 AM,K21-541671,N/A
A1134132,ADOPTION,WESTMORELD,12/15/2021 12:00:00 AM,K21-541672,APP WNL
A1134133,ADOPTION,WESTMORELD,12/03/2021 12:00:00 AM,K21-541673,APP WNL
A1134134,ADOPTION,ADOPETS,11/28/2021 12:00:00 AM,K21-541674,APP WNL
A1134135,TRANSFER,GENERAL,11/19/2021 12:00:00 AM,K21-541676,APP WNL
A1134136,TRANSFER,GENERAL,11/19/2021 12:00:00 AM,K21-541677,APP WNL
A1134137,RETURNED TO OWNER,FIELD,11/16/2021 12:00:00 AM,K21-541679,APP WNL
A1134137,RETURNED TO OWNER,FIELD,02/28/2022 12:00:00 AM,K22-548759,APP WNL
A1134141,RETURNED TO OWNER,FIELD,11/16/2021 12:00:00 AM,K21-541682,APP WNL
A1134142,RETURNED TO OWNER,FIELD,11/16/2021 12:00:00 AM,K21-541683,APP WNL
A1134142,RETURNED TO OWNER,FIELD,03/07/2022 12:00:00 AM,K22-549279,APP WNL
A1134144,EUTHANIZED,BITE,01/20/2022 12:00:00 AM,K21-541684,APP WNL
A1134145,EUTHANIZED,HUMANE,12/28/2021 12:00:00 AM,K21-541685,APP SICK
A1134146,RETURNED TO OWNER,WESTMORELD,11/27/2021 12:00:00 AM,K21-541691,APP INJ
A1134147,LOST EXP,OTHER,12/17/2021 12:00:00 AM,K21-541688,N/A
A1134148,FOUND EXP,OTHER,12/17/2021 12:00:00 AM,K21-541689,N/A
A1134149,RETURNED TO OWNER,WESTMORELD,11/26/2021 12:00:00 AM,K21-541693,APP INJ
A1134150,ADOPTION,WESTMORELD,11/21/2021 12:00:00 AM,K21-541690,APP WNL
A1134150,ADOPTION,WESTMORELD,02/14/2022 12:00:00 AM,K22-547567,APP WNL
A1134153,LOST EXP,OTHER,12/17/2021 12:00:00 AM,K21-541694,N/A
A1134155,LOST EXP,OTHER,12/17/2021 12:00:00 AM,K21-541696,N/A
A1134156,FOUND EXP,OTHER,12/17/2021 12:00:00 AM,K21-541697,N/A
A1134159,FOUND EXP,OTHER,12/17/2021 12:00:00 AM,K21-541698,N/A
A1134160,FOUND EXP,OTHER,12/17/2021 12:00:00 AM,K21-541699,N/A
A1134161,ADOPTION,WESTMORELD,11/21/2021 12:00:00 AM,K21-541700,APP WNL
A1134163,LOST EXP,OTHER,12/18/2021 12:00:00 AM,K21-541702,N/A
A1134164,ADOPTION,WESTMORELD,12/01/2021 12:00:00 AM,K21-541703,APP WNL
A1134165,ADOPTION,WESTMORELD,12/18/2021 12:00:00 AM,K21-541706,APP WNL
A1134165,TREATMENT,COMPLETED,01/19/2022 12:00:00 AM,K22-546052,APP WNL
A1134165,TREATMENT,COMPLETED,02/22/2022 12:00:00 AM,K22-548403,APP WNL
A1134165,TREATMENT,COMPLETED,03/28/2022 12:00:00 AM,K22-550581,APP WNL
A1134166,ADOPTION,ADOPETS,11/27/2021 12:00:00 AM,K21-541710,APP WNL
A1134167,EUTHANIZED,HUMANE,11/17/2021 12:00:00 AM,K21-541714,CRITICAL
A1134168,EUTHANIZED,BEHAVIOR,12/13/2021 12:00:00 AM,K21-541715,APP WNL
A1134169,RETURNED TO OWNER,FIELD,11/17/2021 12:00:00 AM,K21-541716,APP WNL
A1134172,RETURNED TO OWNER,FIELD,11/17/2021 12:00:00 AM,K21-541719,APP WNL
A1134173,RETURNED TO OWNER,WESTMORELD,11/23/2021 12:00:00 AM,K21-541718,APP WNL
A1134175,EUTHANIZED,MEDICAL,12/14/2021 12:00:00 AM,K21-541720,APP SICK
A1134176,LOST EXP,OTHER,12/18/2021 12:00:00 AM,K21-541721,N/A
A1134180,ADOPTION,WESTMORELD,11/27/2021 12:00:00 AM,K21-541726,APP WNL
A1134184,ADOPTION,ADOPETS,12/02/2021 12:00:00 AM,K21-541727,APP WNL
A1134185,ADOPTION,ADOPETS,11/21/2021 12:00:00 AM,K21-541728,APP WNL
A1134186,ADOPTION,WESTMORELD,11/22/2021 12:00:00 AM,K21-541729,APP WNL
A1134186,ADOPTION,WESTMORELD,12/05/2021 12:00:00 AM,K21-542958,APP WNL
A1134186,ADOPTION,WESTMORELD,12/10/2021 12:00:00 AM,K21-543279,APP WNL
A1134186,ADOPTION,WESTMORELD,08/12/2022 12:00:00 AM,K22-560892,APP WNL
A1134187,ADOPTION,WESTMORELD,11/19/2021 12:00:00 AM,K21-541730,APP WNL
A1134189,ADOPTION,IN FOSTER,12/05/2021 12:00:00 AM,K21-542917,APP WNL
A1134189,TREATMENT,COMPLETED,12/04/2021 12:00:00 AM,K21-542851,APP WNL
A1134189,FOSTER,APPOINT,11/19/2021 12:00:00 AM,K21-541738,APP WNL
A1134190,ADOPTION,ADOPETS,11/22/2021 12:00:00 AM,K21-541733,APP WNL
A1134190,ADOPTION,ADOPETS,11/30/2021 12:00:00 AM,K21-542185,APP WNL
A1134191,ADOPTION,WESTMORELD,11/22/2021 12:00:00 AM,K21-541736,APP WNL
A1134192,ADOPTION,ADOPETS,11/21/2021 12:00:00 AM,K21-541737,APP WNL
A1134194,ADOPTION,WESTMORELD,11/22/2021 12:00:00 AM,K21-541739,APP WNL
A1134195,ADOPTION,WESTMORELD,11/23/2021 12:00:00 AM,K21-541740,APP WNL
A1134197,RETURNED TO OWNER,WESTMORELD,11/18/2021 12:00:00 AM,K21-541741,APP SICK
A1134200,ADOPTION,WESTMORELD,12/05/2021 12:00:00 AM,K21-541742,APP WNL
A1134200,RETURNED TO OWNER,WESTMORELD,12/08/2021 12:00:00 AM,K21-543040,APP SICK
A1134200,TRANSFER,TRANSPORT,01/07/2022 12:00:00 AM,K21-543643,APP WNL
A1134202,ADOPTION,WESTMORELD,12/01/2021 12:00:00 AM,K21-541743,APP WNL
A1134204,ADOPTION,WESTMORELD,12/26/2021 12:00:00 AM,K21-541745,APP WNL
A1134204,TREATMENT,COMPLETED,01/30/2022 12:00:00 AM,K22-546798,APP WNL
A1134204,TREATMENT,COMPLETED,03/06/2022 12:00:00 AM,K22-549174,APP WNL
A1134206,ADOPTION,WESTMORELD,11/20/2021 12:00:00 AM,K21-541746,APP WNL
A1134209,ADOPTION,ADOPETS,11/20/2021 12:00:00 AM,K21-541747,APP WNL
A1134210,ADOPTION,WESTMORELD,11/21/2021 12:00:00 AM,K21-541749,APP WNL
A1134210,ADOPTION,ADOPETS,12/31/2021 12:00:00 AM,K21-543959,APP WNL
A1134210,ADOPTION,WESTMORELD,04/14/2022 12:00:00 AM,K22-551841,APP WNL
A1134211,ADOPTION,ADOPETS,01/10/2022 12:00:00 AM,K22-545025,APP WNL
A1134212,ADOPTION,WESTMORELD,11/19/2021 12:00:00 AM,K21-541750,APP WNL
A1134213,FOSTER,GENERAL,01/10/2022 12:00:00 AM,K22-545026,APP WNL
A1134213,EUTHANIZED,MEDICAL,01/26/2022 12:00:00 AM,K22-546493,CRITICAL
A1134213,ADOPTION,IN FOSTER,01/21/2022 12:00:00 AM,K22-546204,APP WNL
A1134213,FOSTER,GENERAL,01/24/2022 12:00:00 AM,K22-546398,APP SICK
A1134214,EUTHANIZED,MEDICAL,11/18/2021 12:00:00 AM,K21-541752,CRITICAL
A1134215,EUTHANIZED,MEDICAL,11/17/2021 12:00:00 AM,K21-541754,CRITICAL
A1134216,DIED,IN KENNEL,11/17/2021 12:00:00 AM,K21-541756,DECEASED
A1134217,LOST EXP,OTHER,12/18/2021 12:00:00 AM,K21-541758,N/A
A1134218,RETURNED TO OWNER,FIELD,11/17/2021 12:00:00 AM,K21-541759,APP WNL
A1134220,RETURNED TO OWNER,FIELD,11/17/2021 12:00:00 AM,K21-541760,APP WNL
A1134221,ADOPTION,WESTMORELD,12/01/2021 12:00:00 AM,K21-541764,APP WNL
A1134222,LOST EXP,OTHER,12/18/2021 12:00:00 AM,K21-541761,N/A
A1134223,LOST EXP,OTHER,12/18/2021 12:00:00 AM,K21-541762,N/A
A1134224,LOST EXP,OTHER,12/18/2021 12:00:00 AM,K21-541763,N/A
A1134226,TRANSFER,MEDICAL,11/18/2021 12:00:00 AM,K21-541765,CRITICAL
A1134227,ADOPTION,WESTMORELD,11/22/2021 12:00:00 AM,K21-541767,APP WNL
A1134228,RETURNED TO OWNER,FIELD,11/17/2021 12:00:00 AM,K21-541766,APP WNL
A1134228,RETURNED TO OWNER,FIELD,01/12/2022 12:00:00 AM,K22-545566,APP WNL
A1134229,LOST EXP,OTHER,12/18/2021 12:00:00 AM,K21-541768,N/A
A1134230,RETURNED TO OWNER,FIELD,11/17/2021 12:00:00 AM,K21-541769,APP WNL
A1134231,RETURNED TO OWNER,WESTMORELD,11/22/2021 12:00:00 AM,K21-541770,APP SICK
A1134233,FOSTER,GENERAL,01/01/2022 12:00:00 AM,K21-541771,APP WNL
A1134233,EUTHANIZED,MEDICAL,01/04/2022 12:00:00 AM,K22-544960,CRITICAL
A1134234,RETURNED TO OWNER,WESTMORELD,11/28/2021 12:00:00 AM,K21-541772,APP WNL
A1134235,ADOPTION,WESTMORELD,11/26/2021 12:00:00 AM,K21-541773,APP INJ
A1134238,TRANSFER,MEDICAL,11/21/2021 12:00:00 AM,K21-541774,APP SICK
A1134238,TREATMENT,COMPLETED,12/14/2021 12:00:00 AM,K21-543555,APP WNL
A1134239,TREATMENT,COMPLETED,12/14/2021 12:00:00 AM,K21-543556,APP WNL
A1134239,TRANSFER,MEDICAL,11/21/2021 12:00:00 AM,K21-541775,APP SICK
A1134240,TRANSFER,MEDICAL,11/21/2021 12:00:00 AM,K21-541776,APP SICK
A1134240,TREATMENT,COMPLETED,12/14/2021 12:00:00 AM,K21-543554,APP WNL
A1134241,TREATMENT,COMPLETED,12/14/2021 12:00:00 AM,K21-543550,APP WNL
A1134241,TRANSFER,MEDICAL,11/21/2021 12:00:00 AM,K21-541777,APP SICK
A1134242,LOST EXP,OTHER,12/19/2021 12:00:00 AM,K21-541778,N/A
A1134243,TRANSFER,UNDERAGE,12/16/2021 12:00:00 AM,K21-541782,UNDERAGE
A1134244,TRANSFER,UNDERAGE,12/16/2021 12:00:00 AM,K21-541784,UNDERAGE
A1134245,TRANSFER,UNDERAGE,12/16/2021 12:00:00 AM,K21-541783,UNDERAGE
A1134246,TRANSFER,UNDERAGE,12/16/2021 12:00:00 AM,K21-541785,UNDERAGE
A1134247,TRANSFER,UNDERAGE,12/16/2021 12:00:00 AM,K21-541786,UNDERAGE
A1134248,TRANSFER,UNDERAGE,12/16/2021 12:00:00 AM,K21-541787,UNDERAGE
A1134249,TRANSFER,UNDERAGE,12/16/2021 12:00:00 AM,K21-541788,APP WNL
A1134250,TRANSFER,UNDERAGE,12/16/2021 12:00:00 AM,K21-541789,UNDERAGE
A1134251,LOST EXP,OTHER,12/19/2021 12:00:00 AM,K21-541793,N/A
A1134252,LOST EXP,OTHER,12/19/2021 12:00:00 AM,K21-541794,N/A
A1134255,TRANSFER,MEDICAL,11/22/2021 12:00:00 AM,K21-541800,APP INJ
A1134256,ADOPTION,ADOPETS,12/02/2021 12:00:00 AM,K21-541801,APP WNL
A1134257,RETURNED TO OWNER,FIELD,11/18/2021 12:00:00 AM,K21-541802,APP WNL
A1134258,RETURNED TO OWNER,FIELD,11/18/2021 12:00:00 AM,K21-541803,APP WNL
A1134259,EUTHANIZED,BEHAVIOR,11/22/2021 12:00:00 AM,K21-541805,APP WNL
A1134260,LOST EXP,OTHER,12/19/2021 12:00:00 AM,K21-541804,N/A
A1134262,ADOPTION,ADOPETS,11/20/2021 12:00:00 AM,K21-541807,APP WNL
A1134263,RETURNED TO OWNER,WESTMORELD,11/22/2021 12:00:00 AM,K21-541808,APP WNL
A1134263,RETURNED TO OWNER,FIELD,08/25/2022 12:00:00 AM,K22-563559,APP WNL
A1134264,EUTHANIZED,BITE,12/04/2021 12:00:00 AM,K21-541810,APP WNL
A1134268,TRANSFER,UNDERAGE,11/19/2021 12:00:00 AM,K21-541811,UNDERAGE
A1134269,ADOPTION,WESTMORELD,11/22/2021 12:00:00 AM,K21-541812,APP WNL
A1134269,ADOPTION,WESTMORELD,04/04/2022 12:00:00 AM,K22-550402,APP WNL
A1134271,ADOPTION,WESTMORELD,11/19/2021 12:00:00 AM,K21-541814,APP WNL
A1134272,LOST EXP,OTHER,12/19/2021 12:00:00 AM,K21-541815,N/A
A1134274,ADOPTION,ADOPETS,11/22/2021 12:00:00 AM,K21-541816,APP WNL
A1134275,TRANSFER,GENERAL,11/22/2021 12:00:00 AM,K21-541817,APP WNL
A1134276,ADOPTION,WESTMORELD,11/20/2021 12:00:00 AM,K21-541818,APP WNL
A1134277,ADOPTION,WESTMORELD,11/24/2021 12:00:00 AM,K21-541819,APP WNL
A1134278,ADOPTION,WESTMORELD,11/21/2021 12:00:00 AM,K21-541820,APP WNL
A1134279,RETURNED TO OWNER,WESTMORELD,06/26/2022 12:00:00 AM,K22-558138,APP WNL
A1134280,ADOPTION,ADOPETS,12/15/2021 12:00:00 AM,K21-542504,APP WNL
A1134281,ADOPTION,WESTMORELD,11/28/2021 12:00:00 AM,K21-541832,APP WNL
A1134282,ADOPTION,ADOPETS,11/30/2021 12:00:00 AM,K21-541824,APP INJ
A1134283,EUTHANIZED,RABIES EXP,11/18/2021 12:00:00 AM,K21-541825,APP WNL
A1134285,FOUND EXP,OTHER,12/19/2021 12:00:00 AM,K21-541826,N/A
A1134287,ADOPTION,WESTMORELD,11/19/2021 12:00:00 AM,K21-541829,APP WNL
A1134288,ADOPTION,WESTMORELD,11/20/2021 12:00:00 AM,K21-541830,APP WNL
A1134289,ADOPTION,WESTMORELD,12/23/2021 12:00:00 AM,K21-541831,APP WNL
A1134296,TRANSFER,MEDICAL,12/03/2021 12:00:00 AM,K21-541833,APP INJ
